question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links
What Doctor Who episode aired on a date closest to the 441st launch of the Skylark rocket?,Dalek,https://en.wikipedia.org/wiki/Doctor_Who_series_1,https://en.wikipedia.org/wiki/Skylark_(rocket),,,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Doctor_Who_series_1', 'https://en.wikipedia.org/wiki/Skylark_(rocket)']"
"As of August 3, 2024, which rabbi worked for both Reform Congregation Keneseth Israel in Philadelphia and Congregation Beth Israel in West Hartford, Connecticut?",Abraham J. Feldman worked for both congregations serving as an interim associate rabbi at the Reform Congregation Keneseth Israel and the leader of the Congregation Beth Israel.,https://en.wikipedia.org/wiki/Reform_Congregation_Keneseth_Israel_(Philadelphia),"https://en.wikipedia.org/wiki/Congregation_Beth_Israel_(West_Hartford,_Connecticut)",,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Reform_Congregation_Keneseth_Israel_(Philadelphia)', 'https://en.wikipedia.org/wiki/Congregation_Beth_Israel_(West_Hartford,_Connecticut)']"
How many published literary works had 1998's Nobel Prize in Literatures' recipient have at the time they received the award? Only count publications in the author's native language.,21,https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature,https://en.wikipedia.org/wiki/José_Saramago#,,,,,,,,,,Numerical reasoning | Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_Nobel_laureates_in_Literature', 'https://en.wikipedia.org/wiki/José_Saramago#']"
What year was the person born who was Prime Minister of The United Kingdom during the year that the first African American ran for president of the United States?,1792,"https://en.wikipedia.org/wiki/List_of_African-American_United_States_presidential_and_vice_presidential_candidates#:~:text=In%201848%2C%20Frederick%20Douglass%20became,major%20party%2C%20namely%20the%20Democrats.",https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom,"https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell",,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_African-American_United_States_presidential_and_vice_presidential_candidates#:~:text=In%201848%2C%20Frederick%20Douglass%20became,major%20party%2C%20namely%20the%20Democrats.', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom', 'https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell']"
"How many months, rounded to the nearest whole number, did it take to construct the tallest building in the world as of January 1, 2024?",69,https://en.wikipedia.org/wiki/List_of_tallest_buildings_and_structures,https://en.wikipedia.org/wiki/Burj_Khalifa,,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_tallest_buildings_and_structures', 'https://en.wikipedia.org/wiki/Burj_Khalifa']"
"Spryo the Dragon released a sequel just a year after it came out. In the same year Spryo's sequel came out, what popular skateboarding based game hit shelves? ",Tony Hawk's Pro Skater,https://en.wikipedia.org/wiki/Spyro_the_Dragon,https://en.wikipedia.org/wiki/Spyro_2:_Ripto%27s_Rage!,https://en.wikipedia.org/wiki/Tony_Hawk%27s_Pro_Skater,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Spyro_the_Dragon', 'https://en.wikipedia.org/wiki/Spyro_2:_Ripto%27s_Rage!', 'https://en.wikipedia.org/wiki/Tony_Hawk%27s_Pro_Skater']"
What was the founding name of the company that ran the coal mining camp in the city where baseball great Willie Mays was born?,Sewanee Furnace Company,https://en.wikipedia.org/wiki/Willie_Mays,"https://en.wikipedia.org/wiki/Westfield,_Alabama","https://en.wikipedia.org/wiki/Tennessee_Coal,_Iron_and_Railroad_Company",,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Willie_Mays', 'https://en.wikipedia.org/wiki/Westfield,_Alabama', 'https://en.wikipedia.org/wiki/Tennessee_Coal,_Iron_and_Railroad_Company']"
"Where was the rapper behind the song ""Hind's Hall"" born? ","Seattle, Washington",https://en.wikipedia.org/wiki/Hind%27s_Hall,https://en.wikipedia.org/wiki/Macklemore,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Hind%27s_Hall', 'https://en.wikipedia.org/wiki/Macklemore']"
"Of the 6 main cast members of the series Friends, which have appeared in music videos?","Of the 6 main cast members of Friends, Jennifer Anniston, Courtney Cox, and Matt LeBlanc have all appeared in music videos.",https://en.wikipedia.org/wiki/Friends,https://en.wikipedia.org/wiki/Jennifer_Aniston,https://en.wikipedia.org/wiki/Courteney_Cox,https://en.wikipedia.org/wiki/Lisa_Kudrow,https://en.wikipedia.org/wiki/Matt_LeBlanc,https://en.wikipedia.org/wiki/Matthew_Perry,https://en.wikipedia.org/wiki/David_Schwimmer,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Friends', 'https://en.wikipedia.org/wiki/Jennifer_Aniston', 'https://en.wikipedia.org/wiki/Courteney_Cox', 'https://en.wikipedia.org/wiki/Lisa_Kudrow', 'https://en.wikipedia.org/wiki/Matt_LeBlanc', 'https://en.wikipedia.org/wiki/Matthew_Perry', 'https://en.wikipedia.org/wiki/David_Schwimmer']"
What was the most-sold album in the year that the Dallas Stars won the Stanley Cup in the 1990s?,Millennium - Backstreet Boys (1999),https://en.wikipedia.org/wiki/List_of_Stanley_Cup_champions,"https://en.wikipedia.org/wiki/List_of_Billboard_200_number-one_albums_of_1999#:~:text=Millennium%20became%20the%20best%2Dselling,nomination%20at%20the%20Grammy%20Awards.",,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_Stanley_Cup_champions', 'https://en.wikipedia.org/wiki/List_of_Billboard_200_number-one_albums_of_1999#:~:text=Millennium%20became%20the%20best%2Dselling,nomination%20at%20the%20Grammy%20Awards.']"
In what city were the Summer Olympic Games held in the year the RMS _Titanic_ sank?,Stockholm (Sweden),https://en.wikipedia.org/wiki/Titanic,https://en.wikipedia.org/wiki/1912_Summer_Olympics,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Titanic', 'https://en.wikipedia.org/wiki/1912_Summer_Olympics']"
In which year did the 4th Sheriff of Yorkshire to be part of the House of Plantagenet die?,1190,https://en.wikipedia.org/wiki/Sheriff_of_Yorkshire,https://en.wikipedia.org/wiki/Ranulf_de_Glanvill,,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Sheriff_of_Yorkshire', 'https://en.wikipedia.org/wiki/Ranulf_de_Glanvill']"
